REG_ANS;Trimestre;Ano;ValorDespesas
000515;2T;2025;10420156.42
000582;2T;2025;2885892838.06
000701;2T;2025;2551076194.89
000884;2T;2025;166154854.4
005711;2T;2025;15580421309.02
006246;2T;2025;12991834225.43
300136;2T;2025;57581994.7
300713;2T;2025;59413508.81
300730;2T;2025;1774307.22
301060;2T;2025;28521176.99
301124;2T;2025;17666864.4
301574;2T;2025;113227731.13
301728;2T;2025;28734422.17
301744;2T;2025;32155153.82
301949;2T;2025;344095054.38
302147;2T;2025;2914273233.25
302228;2T;2025;13574824.45
302627;2T;2025;21190646
302953;2T;2025;214844524.81
303178;2T;2025;33736120.5
303267;2T;2025;222898873.57
303356;2T;2025;250798498.49
303623;2T;2025;397267913.01
303739;2T;2025;102694500.88
303844;2T;2025;22115733.49
303976;2T;2025;755713367.14
304051;2T;2025;59146901.36
304123;2T;2025;25249570.81
304131;2T;2025;56513705.71
304212;2T;2025;6535127.64
304344;2T;2025;44313719.46
304395;2T;2025;59768119.69
304441;2T;2025;8312125.58
304468;2T;2025;60020547.53
304484;2T;2025;28439641.78
304531;2T;2025;4821678.04
304701;2T;2025;1570957445.64
304883;2T;2025;127057026.39
305227;2T;2025;46797483.79
305421;2T;2025;1857523.92
305472;2T;2025;46807676.41
305626;2T;2025;13215734.31
305928;2T;2025;3545196.13
306045;2T;2025;4274426.66
306100;2T;2025;76592114.89
306126;2T;2025;91761009
306398;2T;2025;288261820.87
306754;2T;2025;21864090.64
306762;2T;2025;84686163.51
306886;2T;2025;262622379.14
307319;2T;2025;130213893.63
307751;2T;2025;60833525.78
308811;2T;2025;18174217.92
309028;2T;2025;6153640.88
309087;2T;2025;39281234.59
309222;2T;2025;1012863450.12
309524;2T;2025;15217434.4
309907;2T;2025;67663031.69
310239;2T;2025;11611087.22
310247;2T;2025;133457427.11
310522;2T;2025;98516309.38
310981;2T;2025;6604255.39
311057;2T;2025;168782.68
311146;2T;2025;31679139.96
311294;2T;2025;86867929.52
311359;2T;2025;43936810.86
311375;2T;2025;102361428.76
311391;2T;2025;5654324.63
311618;2T;2025;53333951.92
311715;2T;2025;69559647.26
311847;2T;2025;172858038.28
311944;2T;2025;15646372.44
311961;2T;2025;62821078.86
312126;2T;2025;1094488681.21
312282;2T;2025;20166934.09
312347;2T;2025;71925901.31
312363;2T;2025;2395955826.02
312592;2T;2025;53734555.32
312720;2T;2025;315536094.14
312851;2T;2025;419456070.52
313084;2T;2025;23249455.32
313149;2T;2025;3506367.1
313211;2T;2025;66801433.15
313475;2T;2025;6745471.91
313751;2T;2025;19751555.95
314099;2T;2025;105964666.96
314218;2T;2025;341876341.75
314242;2T;2025;21484933.66
314251;2T;2025;36049672.38
314315;2T;2025;6510668.7
314366;2T;2025;1684838.61
314587;2T;2025;21543354.74
314668;2T;2025;98125264.16
314706;2T;2025;5813577.71
314781;2T;2025;14860834.48
315044;2T;2025;113339183.12
315265;2T;2025;36081383.6
315478;2T;2025;784078399.3
315494;2T;2025;17181089.75
315567;2T;2025;92627693.39
315583;2T;2025;10342613.54
315648;2T;2025;20769407.11
315729;2T;2025;313049009.75
315796;2T;2025;225075974.23
316148;2T;2025;52876188.88
316458;2T;2025;14080335.54
316849;2T;2025;3525658.57
316873;2T;2025;66801643.63
316881;2T;2025;69770489.64
316903;2T;2025;256616.39
316997;2T;2025;3162872.22
317012;2T;2025;28076793.35
317144;2T;2025;1299527482.81
317233;2T;2025;159943319.52
317632;2T;2025;165782544
317896;2T;2025;17663384.22
318035;2T;2025;27391012.57
318213;2T;2025;20612125.09
318299;2T;2025;126204442.79
318388;2T;2025;54146881.87
318477;2T;2025;48302932.17
318566;2T;2025;70797934.98
319121;2T;2025;283035736.05
319180;2T;2025;27088291.44
319384;2T;2025;82453904.7
319422;2T;2025;41548469.42
319708;2T;2025;131388109.08
319872;2T;2025;2179878.38
319996;2T;2025;611684334.95
320251;2T;2025;105586275.1
320510;2T;2025;15034284.94
320706;2T;2025;203546135.98
320820;2T;2025;24357879.69
320838;2T;2025;482526.64
320862;2T;2025;50038078.77
320897;2T;2025;40782418.35
321044;2T;2025;503949903.02
321087;2T;2025;27869222.72
321125;2T;2025;9741830.3
321273;2T;2025;291783449.5
321320;2T;2025;15097426.12
321338;2T;2025;534454.41
321931;2T;2025;21393216.75
321958;2T;2025;157820764.29
322326;2T;2025;5236122.23
322571;2T;2025;58070356.2
322831;2T;2025;45949032.26
322890;2T;2025;2540129.27
323004;2T;2025;8177959.81
323055;2T;2025;30009428.52
323080;2T;2025;2346657264.15
323268;2T;2025;187318817.04
323357;2T;2025;33196526.71
323926;2T;2025;45068771.44
323942;2T;2025;19083372.52
323993;2T;2025;87455525.2
324159;2T;2025;35078427.44
324175;2T;2025;12756721.43
324213;2T;2025;1620417.3
324299;2T;2025;15805941.1
324345;2T;2025;68786259.63
324361;2T;2025;123819747.83
324477;2T;2025;151135184.8
324493;2T;2025;101402556.27
324523;2T;2025;2616.66
