REG_ANS;Trimestre;Ano;ValorDespesas
000515;3T;2025;14906323.44
000582;3T;2025;4534185104.08
000701;3T;2025;3977157127.83
000884;3T;2025;251244185.15
005711;3T;2025;24116517223
006246;3T;2025;20047570696.4
300136;3T;2025;86687647.99
300713;3T;2025;89704349.77
300730;3T;2025;2633813.12
301060;3T;2025;44476632
301124;3T;2025;26502244
301574;3T;2025;180542958.56
301728;3T;2025;45069910.94
301744;3T;2025;49086995.32
301949;3T;2025;549197675.81
302147;3T;2025;4430731709.41
302228;3T;2025;21291572.47
302627;3T;2025;32103820.24
302953;3T;2025;336581569.06
303178;3T;2025;53283704.84
303267;3T;2025;349466221.52
303356;3T;2025;398578039.15
303623;3T;2025;609816851.75
303739;3T;2025;157841647.66
303844;3T;2025;34922295.76
303976;3T;2025;1139055607.54
304051;3T;2025;90181493.75
304123;3T;2025;39310678.2
304131;3T;2025;87696762.78
304212;3T;2025;13298791.72
304344;3T;2025;68108512.32
304395;3T;2025;91475484.58
304441;3T;2025;12213076.08
304468;3T;2025;93148957.31
304484;3T;2025;44978313.99
304531;3T;2025;7285855.03
304701;3T;2025;2463946680.97
304883;3T;2025;180572744.36
305227;3T;2025;73846559.63
305421;3T;2025;2674955.91
305472;3T;2025;73063177.93
305626;3T;2025;21171749.18
305928;3T;2025;5430331.87
306045;3T;2025;6537741.3
306100;3T;2025;118061681.95
306126;3T;2025;141276585.33
306398;3T;2025;445493766.69
306754;3T;2025;33069795.28
306762;3T;2025;129467491.4
306886;3T;2025;406064541.05
307319;3T;2025;208621206.54
307751;3T;2025;93590998.2
308811;3T;2025;28565682.16
309028;3T;2025;9656015.65
309087;3T;2025;61399065.14
309222;3T;2025;1590274861.63
309524;3T;2025;23111335.03
309907;3T;2025;100611799.04
310239;3T;2025;18135913.58
310247;3T;2025;207270429.13
310522;3T;2025;168212837.87
310981;3T;2025;10135635.36
311057;3T;2025;272538.71
311146;3T;2025;47025844.27
311294;3T;2025;129834469.58
311359;3T;2025;71061792.08
311375;3T;2025;160989041.33
311391;3T;2025;8234286.75
311472;3T;2025;4262970.73
311618;3T;2025;80013244.36
311715;3T;2025;111417356.19
311847;3T;2025;265639407.1
311944;3T;2025;24707811.03
311961;3T;2025;128632697.22
312126;3T;2025;1695873845.46
312282;3T;2025;33493963.56
312347;3T;2025;109159899.34
312363;3T;2025;3613776150.41
312592;3T;2025;84054732.52
312720;3T;2025;502763953.6
312851;3T;2025;645709368.46
313084;3T;2025;35874977.47
313149;3T;2025;5475729.97
313211;3T;2025;97555159.95
313475;3T;2025;10732633.78
313751;3T;2025;31089023.19
313971;3T;2025;36918032.69
314099;3T;2025;163903679.15
314218;3T;2025;516405096.06
314242;3T;2025;33842906.44
314251;3T;2025;55126013.03
314315;3T;2025;10293846.15
314366;3T;2025;2659162.35
314587;3T;2025;33325017.72
314668;3T;2025;148548328.77
314706;3T;2025;9599511.65
314781;3T;2025;23979498.25
315044;3T;2025;175221159.48
315265;3T;2025;56539542.06
315478;3T;2025;1205277865.35
315494;3T;2025;28900581.13
315567;3T;2025;137906675.57
315583;3T;2025;14725289.1
315648;3T;2025;33701793.91
315729;3T;2025;478871009.48
315796;3T;2025;363628155.94
316148;3T;2025;83794074.05
316458;3T;2025;20991720.15
316849;3T;2025;6654831.48
316873;3T;2025;103379946.3
316881;3T;2025;107878204.12
316903;3T;2025;374581.83
316997;3T;2025;4987558.38
317012;3T;2025;43119382.85
317144;3T;2025;1994659926.54
317233;3T;2025;260590626.51
317632;3T;2025;255626466.56
317896;3T;2025;28013289.33
318035;3T;2025;43722355.9
318213;3T;2025;34893158.75
318388;3T;2025;86564584.43
318477;3T;2025;69569180.54
318566;3T;2025;107467350.44
319121;3T;2025;450016502.85
319180;3T;2025;42979858.61
319384;3T;2025;124976371.79
319422;3T;2025;64092576.87
319708;3T;2025;203162269.55
319872;3T;2025;3253866.41
319996;3T;2025;939046852.29
320251;3T;2025;165002304.33
320510;3T;2025;20458826.55
320706;3T;2025;309801384.8
320820;3T;2025;39205490.96
320838;3T;2025;776790.64
320862;3T;2025;78084221.99
320897;3T;2025;66405785.58
321044;3T;2025;775645700.49
321087;3T;2025;44163540.23
321125;3T;2025;15212795.95
321273;3T;2025;448106711.89
321320;3T;2025;22893415.38
321338;3T;2025;711454.41
321931;3T;2025;35380820.19
321958;3T;2025;243376663.66
322326;3T;2025;8237804.91
322571;3T;2025;92121812.49
322831;3T;2025;73450883.32
322890;3T;2025;4011171.78
323004;3T;2025;14278096.82
323055;3T;2025;46354582.89
323080;3T;2025;3642687401.92
323268;3T;2025;286915922.52
323357;3T;2025;53476382.58
323926;3T;2025;68046734.27
323942;3T;2025;29396832.57
323993;3T;2025;134659103.16
324159;3T;2025;54613917.9
324175;3T;2025;22317147.2
324213;3T;2025;2527176.23
324299;3T;2025;22117501.76
324345;3T;2025;108637217.33
324361;3T;2025;189679416.3
324477;3T;2025;229483733.91
324493;3T;2025;155226358.56
324523;3T;2025;4515.65
324566;3T;2025;59453777.08
325031;3T;2025;59890199.49
325082;3T;2025;10916185.09
325236;3T;2025;72550823.99
325465;3T;2025;26819849.93
